TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
mALPS,Reactome_2022,SUMOylation R-HSA-2990846,Reactome_2022::SUMOylation_R-HSA-2990846,165,-0.018331,-0.0017379,0.071017,0.60184,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Cellular Response To Type II Interferon (GO:0071346),GO_BP_2023::Cellular_Response_To_Type_II_Interferon_(GO:0071346),63,-0.036091,-0.0021203,0.1387,0.60265,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Activation Of IRF3/IRF7 Mediated By TBK1/IKK Epsilon R-HSA-936964,Reactome_2022::Activation_Of_IRF3/IRF7_Mediated_By_TBK1/IKK_Epsilon_R-HSA-936964,17,-0.067751,-0.0020702,0.26004,0.60278,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Interferon-Alpha Production (GO:0032647),GO_BP_2023::Regulation_Of_Interferon-Alpha_Production_(GO:0032647),23,-0.048363,-0.0017186,0.18485,0.60319,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,Reactome_2022::Heparan_Sulfate/Heparin_(HS-GAG)_Metabolism_R-HSA-1638091,48,-0.036221,-0.0018582,0.13819,0.60338,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002824),GO_BP_2023::Positive_Regulation_Of_Adaptive_Immune_Response_Based_On_Somatic_Recombination_Of_Immune_Receptors_Built_From_Immunoglobulin_Superfamily_Domains_(GO:0002824),13,-0.060507,-0.001617,0.23014,0.60369,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Osteoblast Proliferation (GO:0033688),GO_BP_2023::Regulation_Of_Osteoblast_Proliferation_(GO:0033688),16,-0.068701,-0.0020366,0.25951,0.60439,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047),GO_BP_2023::Regulation_Of_Cell-Cell_Adhesion_Mediated_By_Cadherin_(GO:2000047),16,-0.068282,-0.0020242,0.25759,0.60452,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Mitotic Cytokinetic Process (GO:1902410),GO_BP_2023::Mitotic_Cytokinetic_Process_(GO:1902410),18,-0.081946,-0.0025765,0.30859,0.6047,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome_2022::Cleavage_Of_Damaged_Pyrimidine_R-HSA-110329,39,-0.042634,-0.001972,0.16041,0.60479,0.9673418390162102,1.0,False,False
mALPS,Reactome_2022,Beta-catenin Phosphorylation Cascade R-HSA-196299,Reactome_2022::Beta-catenin_Phosphorylation_Cascade_R-HSA-196299,16,-0.061247,-0.0018157,0.23014,0.60493,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Cellular Response To Hormone Stimulus (GO:0032870),GO_BP_2023::Cellular_Response_To_Hormone_Stimulus_(GO:0032870),90,-0.02625,-0.0018419,0.098619,0.60495,0.9673418390162102,1.0,False,False
mALPS,Hallmark_2020,Xenobiotic Metabolism,Hallmark_2020::Xenobiotic_Metabolism,195,-0.01667,-0.0017167,0.062567,0.60505,0.9673418390162102,1.0,False,False
mALPS,GO_BP_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),GO_BP_2023::Positive_Regulation_Of_Mitotic_Cell_Cycle_Phase_Transition_(GO:1901992),59,-0.030545,-0.0017368,0.11456,0.60512,0.9673418390162102,1.0,False,False
