library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
Reactome_2022,Degradation Of GLI1 By Proteasome R-HSA-5610780,3,1,0.0048115,0.10532,0.5916865306122449,False
GO_BP_2023,Regulation Of Proteolysis (GO:0030162),3,1,0.0017085,0.12007,0.5916865306122449,False
GO_BP_2023,Regulation Of Cytoskeleton Organization (GO:0051493),3,1,0.0014113,0.12514,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of Cell Differentiation (GO:0045596),3,1,0.0022285,0.13137,0.5916865306122449,False
GO_BP_2023,Positive Regulation Of DNA Replication (GO:0045740),3,1,0.0046777,0.15225,0.7827946511627907,False
GO_BP_2023,Endothelium Development (GO:0003158),3,1,0.001705,0.17976,0.7232041666666666,False
GO_BP_2023,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),3,1,0.004702,0.50441,0.5916865306122449,False
GO_BP_2023,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),3,1,0.003526,0.85383,0.5916865306122449,False
Reactome_2022,Defects In Vitamin And Cofactor Metabolism R-HSA-3296482,3,0,0.0053201,0.011146,0.5916865306122449,False
GO_BP_2023,Negative Regulation Of MAP Kinase Activity (GO:0043407),3,0,0.0053645,0.01239,0.6472500555555556,False
GO_BP_2023,Mesenchymal Cell Differentiation (GO:0048762),3,0,0.0068667,0.012463,0.6472500555555556,False
GO_BP_2023,Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288),3,0,0.0053541,0.012781,0.6472500555555556,False
GO_BP_2023,Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030),3,0,0.0060392,0.013133,0.6472500555555556,False
GO_BP_2023,Transcription By RNA Polymerase II (GO:0006366),3,0,0.011424,0.013265,0.755170909090909,False
GO_BP_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),3,0,0.0092079,0.017937,0.6892383970588236,False
GO_BP_2023,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),3,0,0.0067253,0.018122,0.6472500555555556,False
GO_BP_2023,Bile Acid And Bile Salt Transport (GO:0015721),3,0,0.0093851,0.019961,0.6906112,False
Reactome_2022,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,3,0,0.0056645,0.019985,0.5916865306122449,False
Reactome_2022,GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,3,0,0.0062931,0.020222,0.5931829444444445,False
GO_BP_2023,Regulation Of Fibroblast Migration (GO:0010762),3,0,0.018988,0.022459,0.7646050657894736,False
GO_BP_2023,Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827),3,0,0.0076718,0.023237,0.6773927288135594,False
GO_BP_2023,Embryo Development Ending In Birth Or Egg Hatching (GO:0009792),3,0,0.0090332,0.024122,0.726716796875,False
GO_BP_2023,Protein Localization To Condensed Chromosome (GO:1903083),3,0,0.022206,0.024905,0.7684385119047619,False
GO_BP_2023,Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745),3,0,0.0056548,0.02523,0.6472500555555556,False
GO_BP_2023,Glomerular Filtration (GO:0003094),3,0,0.00786,0.025596,0.7364463013698631,False
