library,term,traits_tested,traits_P_lt_0_005,minimum_P,maximum_P,minimum_BH_FDR,FDR_significant_any_trait
Reactome_2022,SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,3,0,0.19781,0.32636,0.9142010813887308,False
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,3,0,0.057683,0.32641,0.8635484411764706,False
GO_BP_2023,Positive Regulation Of Behavior (GO:0048520),3,0,0.23301,0.32657,0.9142010813887308,False
GO_BP_2023,Regulation Of Vasculogenesis (GO:2001212),3,0,0.31046,0.32666,0.9156606246514224,False
GO_BP_2023,Positive Regulation Of Dendrite Development (GO:1900006),3,0,0.15165,0.32694,0.9142010813887308,False
GO_BP_2023,Insulin Receptor Signaling Pathway (GO:0008286),3,0,0.079105,0.3271,0.9173217630853996,False
Reactome_2022,Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523,3,0,0.28239,0.32727,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Organelle Organization (GO:0010638),3,0,0.016455,0.32775,0.7598961313868613,False
Reactome_2022,Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,3,0,0.18216,0.32799,0.9176798134942402,False
Reactome_2022,RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330,3,0,0.077466,0.32828,0.9176798134942402,False
GO_BP_2023,Positive Regulation Of Transferase Activity (GO:0051347),3,0,0.32484,0.32829,0.9176798134942402,False
GO_BP_2023,Negative Regulation Of Sprouting Angiogenesis (GO:1903671),3,0,0.13451,0.32852,0.9176798134942402,False
GO_BP_2023,Positive Regulation Of Non-Canonical Wnt Signaling Pathway (GO:2000052),3,0,0.087617,0.32861,0.9046810444874276,False
Hallmark_2020,Spermatogenesis,3,0,0.21982,0.32867,0.9176798134942402,False
GO_BP_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),3,0,0.074776,0.32874,0.9142010813887308,False
GO_BP_2023,Regulation Of Activin Receptor Signaling Pathway (GO:0032925),3,0,0.24494,0.32896,0.917809705561614,False
GO_BP_2023,Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),3,0,0.038467,0.32905,0.8635484411764706,False
GO_BP_2023,Phosphatidylethanolamine Metabolic Process (GO:0046337),3,0,0.15867,0.32918,0.9142010813887308,False
Reactome_2022,RIP-mediated NFkB Activation Via ZBP1 R-HSA-1810476,3,0,0.22866,0.32942,0.9142010813887308,False
Reactome_2022,Respiratory Electron Transport R-HSA-611105,3,0,0.22536,0.32957,0.9142010813887308,False
GO_BP_2023,Protein Exit From Endoplasmic Reticulum (GO:0032527),3,0,0.12721,0.32975,0.9142010813887308,False
GO_BP_2023,Regulation Of Telomere Capping (GO:1904353),3,0,0.20211,0.32999,0.917809705561614,False
GO_BP_2023,Membrane Lipid Biosynthetic Process (GO:0046467),3,0,0.08752,0.33019,0.9046810444874276,False
Reactome_2022,Notch-HLH Transcription Pathway R-HSA-350054,3,0,0.020519,0.33022,0.8503912258064517,False
Reactome_2022,Interleukin Receptor SHC Signaling R-HSA-912526,3,0,0.26324,0.33069,0.9172943219404628,False
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,3,0,0.090265,0.33163,0.9046810444874276,False
Reactome_2022,Signaling By MET R-HSA-6806834,3,0,0.15342,0.33263,0.9142010813887308,False
Reactome_2022,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,3,0,0.20644,0.33265,0.9208097071583514,False
GO_BP_2023,Protein Localization To Microtubule Organizing Center (GO:1905508),3,0,0.22555,0.33292,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Protein-Containing Complex Disassembly (GO:0043243),3,0,0.25555,0.33303,0.9208097071583514,False
Reactome_2022,RAC2 GTPase Cycle R-HSA-9013404,3,0,0.15963,0.3332,0.9208097071583514,False
GO_BP_2023,Regulation Of Melanin Biosynthetic Process (GO:0048021),3,0,0.057669,0.33359,0.8635484411764706,False
GO_BP_2023,Regulation Of Actin Cytoskeleton Organization (GO:0032956),3,0,0.12239,0.33359,0.9208097071583514,False
GO_BP_2023,Negative Regulation Of Apoptotic Process (GO:0043066),3,0,0.20055,0.33421,0.9142010813887308,False
Reactome_2022,Transcriptional Regulation By E2F6 R-HSA-8953750,3,0,0.077174,0.33511,0.9216143088552916,False
GO_BP_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",3,0,0.19873,0.33512,0.9216143088552916,False
Reactome_2022,tRNA Modification In Nucleus And Cytosol R-HSA-6782315,3,0,0.25077,0.33566,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Viral Genome Replication (GO:0045070),3,0,0.1703,0.33567,0.9142010813887308,False
GO_BP_2023,Response To Peptide (GO:1901652),3,0,0.12041,0.33583,0.9109985401459854,False
GO_BP_2023,Aortic Valve Development (GO:0003176),3,0,0.2388,0.33625,0.9142010813887308,False
Reactome_2022,Signaling By NOTCH3 R-HSA-9012852,3,0,0.24821,0.33661,0.9142010813887308,False
GO_BP_2023,Cellular Response To Glucocorticoid Stimulus (GO:0071385),3,0,0.24821,0.33678,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Cell Activation (GO:0050867),3,0,0.10549,0.33699,0.922255873493976,False
GO_BP_2023,Regulation Of Dendritic Cell Differentiation (GO:2001198),3,0,0.30933,0.33713,0.922255873493976,False
Reactome_2022,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,3,0,0.1023,0.33765,0.9090356792144026,False
Reactome_2022,Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262,3,0,0.2836,0.33772,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Protein Kinase Activity (GO:0006469),3,0,0.18384,0.3383,0.9172943219404628,False
GO_BP_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),3,0,0.16959,0.33843,0.9142010813887308,False
Reactome_2022,Post NMDA Receptor Activation Events R-HSA-438064,3,0,0.16591,0.33893,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Cell Projection Organization (GO:0031345),3,0,0.018177,0.33924,0.7598961313868613,False
GO_BP_2023,Organic Hydroxy Compound Biosynthetic Process (GO:1901617),3,0,0.11548,0.33949,0.9109985401459854,False
GO_BP_2023,Positive Regulation Of Protein Autophosphorylation (GO:0031954),3,0,0.12588,0.33963,0.922255873493976,False
GO_BP_2023,Mitotic Cytokinesis (GO:0000281),3,0,0.063446,0.33982,0.918919315068493,False
GO_BP_2023,Intracellular Lipid Transport (GO:0032365),3,0,0.11179,0.33984,0.9109985401459854,False
GO_BP_2023,Facultative Heterochromatin Formation (GO:0140718),3,0,0.22301,0.33993,0.9142010813887308,False
GO_BP_2023,Cell Junction Organization (GO:0034330),3,0,0.090447,0.34014,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Nervous System Development (GO:0051961),3,0,0.16401,0.34025,0.9142010813887308,False
Reactome_2022,Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,3,0,0.083008,0.34037,0.915941186440678,False
Reactome_2022,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,3,0,0.22971,0.34044,0.922255873493976,False
Reactome_2022,Biosynthesis Of DHA-derived SPMs R-HSA-9018677,3,0,0.26681,0.34045,0.9142010813887308,False
GO_BP_2023,Regulation Of Smoothened Signaling Pathway (GO:0008589),3,0,0.11555,0.34062,0.9109985401459854,False
GO_BP_2023,Autophagy Of Mitochondrion (GO:0000422),3,0,0.14405,0.34091,0.9142010813887308,False
GO_BP_2023,tRNA 5'-End Processing (GO:0099116),3,0,0.25995,0.34094,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Viral Process (GO:0048525),3,0,0.27841,0.34097,0.922255873493976,False
GO_BP_2023,Regulation Of Hydrolase Activity (GO:0051336),3,0,0.085372,0.34124,0.922255873493976,False
GO_BP_2023,Glial Cell Differentiation (GO:0010001),3,0,0.19674,0.34141,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),3,0,0.057234,0.34211,0.8635484411764706,False
Reactome_2022,DAP12 Signaling R-HSA-2424491,3,0,0.28459,0.34239,0.9142010813887308,False
Reactome_2022,Alpha-Linolenic (Omega3) And Linoleic (Omega6) Acid Metabolism R-HSA-2046104,3,0,0.15109,0.34329,0.922255873493976,False
GO_BP_2023,RNA Export From Nucleus (GO:0006405),3,0,0.27878,0.34329,0.9142010813887308,False
GO_BP_2023,Natural Killer Cell Mediated Cytotoxicity (GO:0042267),3,0,0.16555,0.3434,0.9142010813887308,False
Reactome_2022,Signaling By PDGF R-HSA-186797,3,0,0.057289,0.34342,0.8635484411764706,False
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,3,0,0.071148,0.34352,0.8919786206896552,False
GO_BP_2023,Negative Regulation Of Cilium Assembly (GO:1902018),3,0,0.29053,0.34399,0.9172943219404628,False
Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,3,0,0.17687,0.34415,0.922255873493976,False
GO_BP_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),3,0,0.14137,0.34447,0.922255873493976,False
GO_BP_2023,Telomere Maintenance Via Telomere Lengthening (GO:0010833),3,0,0.14697,0.34501,0.9142010813887308,False
Reactome_2022,Kinesins R-HSA-983189,3,0,0.16215,0.34501,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Actin Filament Depolymerization (GO:0030836),3,0,0.28646,0.34518,0.9176798134942402,False
GO_BP_2023,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),3,0,0.19333,0.34578,0.922255873493976,False
GO_BP_2023,Icosanoid Biosynthetic Process (GO:0046456),3,0,0.13654,0.34598,0.922255873493976,False
GO_BP_2023,Regulation Of Establishment Of Cell Polarity (GO:2000114),3,0,0.32124,0.3461,0.922255873493976,False
GO_BP_2023,Negative Regulation Of DNA Metabolic Process (GO:0051053),3,0,0.15189,0.34643,0.9142010813887308,False
GO_BP_2023,Protein Glycosylation (GO:0006486),3,0,0.24016,0.34647,0.922255873493976,False
GO_BP_2023,Protein K11-linked Ubiquitination (GO:0070979),3,0,0.21963,0.34685,0.9142010813887308,False
GO_BP_2023,Cellular Response To Exogenous dsRNA (GO:0071360),3,0,0.10928,0.34706,0.922255873493976,False
GO_BP_2023,Regulation Of B Cell Differentiation (GO:0045577),3,0,0.25644,0.34706,0.922255873493976,False
GO_BP_2023,Peptidyl-Threonine Modification (GO:0018210),3,0,0.13756,0.34708,0.922255873493976,False
GO_BP_2023,Inositol Phosphate-Mediated Signaling (GO:0048016),3,0,0.14835,0.34724,0.9142010813887308,False
GO_BP_2023,Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),3,0,0.058703,0.34734,0.8724378717201167,False
GO_BP_2023,Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:0086064),3,0,0.082216,0.34757,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),3,0,0.11122,0.34816,0.913314680232558,False
GO_BP_2023,Exocytosis (GO:0006887),3,0,0.19984,0.34878,0.922255873493976,False
GO_BP_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),3,0,0.23398,0.34902,0.9142010813887308,False
Reactome_2022,FRS-mediated FGFR4 Signaling R-HSA-5654712,3,0,0.22603,0.34943,0.9142010813887308,False
GO_BP_2023,Thyroid Hormone Generation (GO:0006590),3,0,0.15833,0.34953,0.922255873493976,False
GO_BP_2023,Keratan Sulfate Biosynthetic Process (GO:0018146),3,0,0.1345,0.35063,0.922255873493976,False
Reactome_2022,Golgi-to-ER Retrograde Transport R-HSA-8856688,3,0,0.10196,0.35074,0.9090356792144026,False
GO_BP_2023,Regulation Of Calcium Ion Transport (GO:0051924),3,0,0.1973,0.35074,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Protein Targeting To Membrane (GO:0090314),3,0,0.16789,0.35104,0.9142010813887308,False
GO_BP_2023,Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902991),3,0,0.19931,0.35133,0.922255873493976,False
Reactome_2022,ZBP1(DAI) Mediated Induction Of Type I IFNs R-HSA-1606322,3,0,0.14914,0.35135,0.9142010813887308,False
GO_BP_2023,Mitochondrial Fusion (GO:0008053),3,0,0.16423,0.35145,0.9142010813887308,False
GO_BP_2023,Regulation Of Platelet Activation (GO:0010543),3,0,0.19479,0.35177,0.922255873493976,False
GO_BP_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),3,0,0.033307,0.35204,0.8635484411764706,False
Reactome_2022,Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844,3,0,0.28486,0.35212,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),3,0,0.13901,0.35248,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Smoothened Signaling Pathway (GO:0045879),3,0,0.12602,0.353,0.922255873493976,False
GO_BP_2023,"mRNA Cis Splicing, Via Spliceosome (GO:0045292)",3,0,0.19279,0.35345,0.9142010813887308,False
Reactome_2022,Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470,3,0,0.19392,0.3536,0.9142010813887308,False
Reactome_2022,Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,3,0,0.20217,0.35364,0.922255873493976,False
GO_BP_2023,Endocytic Recycling (GO:0032456),3,0,0.28615,0.35373,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of JUN Kinase Activity (GO:0043507),3,0,0.16046,0.35387,0.9142010813887308,False
GO_BP_2023,Peptidyl-Threonine Phosphorylation (GO:0018107),3,0,0.13969,0.35398,0.922255873493976,False
Hallmark_2020,Bile Acid Metabolism,3,0,0.15773,0.35399,0.9142010813887308,False
GO_BP_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),3,0,0.28725,0.35399,0.922255873493976,False
GO_BP_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),3,0,0.28725,0.35399,0.922255873493976,False
GO_BP_2023,Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051),3,0,0.13161,0.35417,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Neutrophil Migration (GO:1902624),3,0,0.19582,0.35419,0.922255873493976,False
GO_BP_2023,Neuron Apoptotic Process (GO:0051402),3,0,0.080567,0.35431,0.9046810444874276,False
GO_BP_2023,Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),3,0,0.021284,0.35441,0.8503912258064517,False
Reactome_2022,Elastic Fibre Formation R-HSA-1566948,3,0,0.30154,0.35457,0.9142010813887308,False
GO_BP_2023,Response To Lipid (GO:0033993),3,0,0.3113,0.35476,0.922255873493976,False
GO_BP_2023,Protein Processing (GO:0016485),3,0,0.21502,0.35484,0.9142010813887308,False
GO_BP_2023,Signal Transduction By P53 Class Mediator (GO:0072331),3,0,0.21902,0.35486,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Actin Filament Polymerization (GO:0030838),3,0,0.26774,0.35487,0.922255873493976,False
Reactome_2022,Circadian Clock R-HSA-400253,3,0,0.18256,0.35504,0.922255873493976,False
Reactome_2022,Interferon Signaling R-HSA-913531,3,0,0.23499,0.35509,0.922255873493976,False
GO_BP_2023,Cellular Response To Fluid Shear Stress (GO:0071498),3,0,0.091228,0.35524,0.9046810444874276,False
GO_BP_2023,Positive Regulation Of Leukocyte Activation (GO:0002696),3,0,0.18553,0.35539,0.9142010813887308,False
Reactome_2022,Oxidative Stress Induced Senescence R-HSA-2559580,3,0,0.19324,0.35581,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Cartilage Development (GO:0061036),3,0,0.28897,0.35589,0.9156606246514224,False
GO_BP_2023,Intraciliary Anterograde Transport (GO:0035720),3,0,0.33222,0.35622,0.922255873493976,False
GO_BP_2023,Transcription Elongation By RNA Polymerase II (GO:0006368),3,0,0.34483,0.35624,0.922255873493976,False
Reactome_2022,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,3,0,0.090941,0.35636,0.922255873493976,False
GO_BP_2023,Regulation Of Actin Filament Polymerization (GO:0030833),3,0,0.34264,0.35665,0.922255873493976,False
GO_BP_2023,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),3,0,0.28563,0.35689,0.9142010813887308,False
GO_BP_2023,Histone mRNA Metabolic Process (GO:0008334),3,0,0.16219,0.35716,0.9142010813887308,False
Reactome_2022,G1/S-Specific Transcription R-HSA-69205,3,0,0.28665,0.35727,0.922255873493976,False
GO_BP_2023,Fatty Acid Beta-Oxidation (GO:0006635),3,0,0.21852,0.35789,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Insulin Receptor Signaling Pathway (GO:0046628),3,0,0.13152,0.35812,0.922255873493976,False
GO_BP_2023,Nucleoside Phosphate Biosynthetic Process (GO:1901293),3,0,0.30475,0.35823,0.922255873493976,False
GO_BP_2023,protein-DNA Complex Assembly (GO:0065004),3,0,0.31043,0.35894,0.9142010813887308,False
GO_BP_2023,Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),3,0,0.2367,0.35927,0.9142010813887308,False
Reactome_2022,Inhibition Of DNA Recombination At Telomere R-HSA-9670095,3,0,0.30647,0.35936,0.922255873493976,False
GO_BP_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),3,0,0.19685,0.35966,0.922255873493976,False
Reactome_2022,p75NTR Signals Via NF-kB R-HSA-193639,3,0,0.2097,0.35973,0.9142010813887308,False
GO_BP_2023,Amyloid Precursor Protein Metabolic Process (GO:0042982),3,0,0.26369,0.36,0.922255873493976,False
GO_BP_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),3,0,0.23293,0.36024,0.9142010813887308,False
GO_BP_2023,Osteoclast Differentiation (GO:0030316),3,0,0.22492,0.36042,0.9142010813887308,False
Reactome_2022,Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,3,0,0.15294,0.36054,0.9142010813887308,False
Reactome_2022,Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,3,0,0.25065,0.36073,0.9142010813887308,False
GO_BP_2023,acetyl-CoA Biosynthetic Process (GO:0006085),3,0,0.2443,0.36123,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Transforming Growth Factor Beta Production (GO:0071636),3,0,0.15227,0.36127,0.9223519057171514,False
GO_BP_2023,Endocardial Cushion Morphogenesis (GO:0003203),3,0,0.22965,0.36133,0.9223519057171514,False
GO_BP_2023,"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",3,0,0.062475,0.36216,0.918919315068493,False
GO_BP_2023,Protein Activation Cascade (GO:0072376),3,0,0.062475,0.36216,0.918919315068493,False
GO_BP_2023,Myoblast Fusion (GO:0007520),3,0,0.2563,0.36225,0.922387443721861,False
GO_BP_2023,Stem Cell Differentiation (GO:0048863),3,0,0.072968,0.36227,0.901282291169451,False
GO_BP_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),3,0,0.282,0.36257,0.9225052947052946,False
GO_BP_2023,MHC Class II Protein Complex Assembly (GO:0002399),3,0,0.31114,0.36276,0.9142010813887308,False
GO_BP_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),3,0,0.31114,0.36276,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Biomineral Tissue Development (GO:0070169),3,0,0.014919,0.36314,0.8503912258064517,False
GO_BP_2023,Regulation Of Cell Differentiation (GO:0045595),3,0,0.097912,0.36372,0.915941186440678,False
GO_BP_2023,Endoderm Development (GO:0007492),3,0,0.15283,0.36383,0.9142010813887308,False
GO_BP_2023,Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904356),3,0,0.14471,0.36391,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Sprouting Angiogenesis (GO:1903672),3,0,0.31743,0.36443,0.914765388951522,False
GO_BP_2023,Response To Transforming Growth Factor Beta (GO:0071559),3,0,0.1359,0.36455,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of p38MAPK Cascade (GO:1900745),3,0,0.16286,0.3647,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900102),3,0,0.13606,0.36471,0.9142010813887308,False
Reactome_2022,Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691,3,0,0.09761,0.36474,0.924383524141364,False
Reactome_2022,Viral mRNA Translation R-HSA-192823,3,0,0.29641,0.36485,0.924383524141364,False
GO_BP_2023,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),3,0,0.14413,0.36529,0.9246031824962706,False
Reactome_2022,RNA Polymerase II Transcription Termination R-HSA-73856,3,0,0.095351,0.3653,0.9246031824962706,False
GO_BP_2023,Positive Regulation Of mRNA Metabolic Process (GO:1903313),3,0,0.20413,0.36582,0.9248348214285714,False
GO_BP_2023,Cardiac Muscle Tissue Development (GO:0048738),3,0,0.29447,0.36584,0.9142010813887308,False
GO_BP_2023,Positive Regulation Of Blood Coagulation (GO:0030194),3,0,0.092005,0.36596,0.9225998824911869,False
GO_BP_2023,High-Density Lipoprotein Particle Remodeling (GO:0034375),3,0,0.27696,0.36597,0.9142010813887308,False
GO_BP_2023,GTP Metabolic Process (GO:0046039),3,0,0.20148,0.3668,0.9250653142008908,False
Reactome_2022,ABC Transporter Disorders R-HSA-5619084,3,0,0.12309,0.36699,0.9250653142008908,False
GO_BP_2023,Regulation Of Actin Filament Depolymerization (GO:0030834),3,0,0.29808,0.36727,0.9250653142008908,False
GO_BP_2023,Positive Regulation Of Chromosome Organization (GO:2001252),3,0,0.1522,0.36728,0.9142010813887308,False
GO_BP_2023,Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059),3,0,0.13889,0.3673,0.9250653142008908,False
GO_BP_2023,Regulation Of Focal Adhesion Assembly (GO:0051893),3,0,0.32618,0.36793,0.9253609960552268,False
GO_BP_2023,Positive Regulation Of Vasoconstriction (GO:0045907),3,0,0.13744,0.36808,0.9142010813887308,False
GO_BP_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),3,0,0.079748,0.36833,0.9046810444874276,False
Reactome_2022,Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,3,0,0.19386,0.36843,0.9253609960552268,False
Hallmark_2020,Mitotic Spindle,3,0,0.014172,0.36844,0.8503912258064517,False
GO_BP_2023,RNA Stabilization (GO:0043489),3,0,0.18385,0.36888,0.9142010813887308,False
Reactome_2022,Bile Acid And Bile Salt Metabolism R-HSA-194068,3,0,0.21078,0.3695,0.9142010813887308,False
Reactome_2022,Drug ADME R-HSA-9748784,3,0,0.16701,0.36961,0.9262998030526834,False
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,3,0,0.26794,0.36964,0.9142010813887308,False
Reactome_2022,Glutathione Conjugation R-HSA-156590,3,0,0.24274,0.3698,0.926319881889764,False
GO_BP_2023,Positive Regulation Of Protein Catabolic Process (GO:0045732),3,0,0.28529,0.36985,0.922255873493976,False
GO_BP_2023,Phosphatidylinositol 3-Kinase Signaling (GO:0014065),3,0,0.19581,0.37024,0.9142010813887308,False
GO_BP_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),3,0,0.33531,0.37075,0.92680936733693,False
GO_BP_2023,Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088),3,0,0.22677,0.37078,0.9142010813887308,False
GO_BP_2023,Cytoplasmic Translation (GO:0002181),3,0,0.07802,0.37091,0.915941186440678,False
GO_BP_2023,Positive Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031112),3,0,0.10172,0.37095,0.915941186440678,False
GO_BP_2023,Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912),3,0,0.27786,0.37116,0.92680936733693,False
Reactome_2022,Lysosphingolipid And LPA Receptors R-HSA-419408,3,0,0.067235,0.3712,0.9193166042780748,False
Reactome_2022,Condensation Of Prometaphase Chromosomes R-HSA-2514853,3,0,0.31865,0.37127,0.92680936733693,False
Reactome_2022,S Phase R-HSA-69242,3,0,0.31452,0.37132,0.922255873493976,False
GO_BP_2023,Ruffle Organization (GO:0031529),3,0,0.19474,0.37156,0.9142010813887308,False
Reactome_2022,EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,3,0,0.19636,0.37173,0.92698642578125,False
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,3,0,0.21383,0.37182,0.9142010813887308,False
GO_BP_2023,SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614),3,0,0.29625,0.37191,0.922255873493976,False
Reactome_2022,NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507,3,0,0.21203,0.37194,0.9142010813887308,False
GO_BP_2023,Glycerophospholipid Metabolic Process (GO:0006650),3,0,0.2407,0.37247,0.92698642578125,False
Reactome_2022,AURKA Activation By TPX2 R-HSA-8854518,3,0,0.30689,0.3725,0.9142010813887308,False
GO_BP_2023,Contractile Actin Filament Bundle Assembly (GO:0030038),3,0,0.26774,0.37255,0.9142010813887308,False
GO_BP_2023,Stress Fiber Assembly (GO:0043149),3,0,0.26774,0.37255,0.9142010813887308,False
Reactome_2022,Mitotic Prometaphase R-HSA-68877,3,0,0.2749,0.37257,0.9142010813887308,False
GO_BP_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),3,0,0.15823,0.37273,0.9234639630390143,False
GO_BP_2023,Regulation Of Kinase Activity (GO:0043549),3,0,0.1226,0.37332,0.9109985401459854,False
Reactome_2022,IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467,3,0,0.24196,0.37399,0.9216143088552916,False
GO_BP_2023,Mitochondrial Fission (GO:0000266),3,0,0.24487,0.37467,0.9278852140077822,False
GO_BP_2023,Regulation Of Systemic Arterial Blood Pressure By Hormone (GO:0001990),3,0,0.28954,0.37525,0.9142010813887308,False
GO_BP_2023,Endolysosomal Toll-Like Receptor Signaling Pathway (GO:0140894),3,0,0.16217,0.37533,0.9142010813887308,False
GO_BP_2023,Regulation Of Cytokinesis (GO:0032465),3,0,0.25373,0.37539,0.9281895580378826,False
GO_BP_2023,Regulation Of Innate Immune Response (GO:0045088),3,0,0.26133,0.37547,0.9281895580378826,False
GO_BP_2023,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271),3,0,0.24396,0.37557,0.9142010813887308,False
Reactome_2022,Dopamine Neurotransmitter Release Cycle R-HSA-212676,3,0,0.041918,0.37568,0.8298750915750917,False
GO_BP_2023,Endosomal Vesicle Fusion (GO:0034058),3,0,0.32451,0.37589,0.9283261038330908,False
GO_BP_2023,Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),3,0,0.16935,0.37593,0.9142010813887308,False
GO_BP_2023,Regulation Of Protein Processing (GO:0070613),3,0,0.20428,0.37632,0.9142010813887308,False
Reactome_2022,RUNX3 Regulates NOTCH Signaling R-HSA-8941856,3,0,0.23029,0.37639,0.9289679691268692,False
GO_BP_2023,Substrate Adhesion-Dependent Cell Spreading (GO:0034446),3,0,0.16021,0.37676,0.9142010813887308,False
Reactome_2022,Nucleotide-like (Purinergic) Receptors R-HSA-418038,3,0,0.19586,0.37794,0.9289679691268692,False
GO_BP_2023,Peptidyl-Methionine Modification (GO:0018206),3,0,0.33213,0.37818,0.922255873493976,False
GO_BP_2023,Substrate-Dependent Cell Migration (GO:0006929),3,0,0.064668,0.37831,0.918919315068493,False
GO_BP_2023,Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635),3,0,0.34868,0.37834,0.9289679691268692,False
