TRAIT,library,term,FULL_NAME,NGENES,BETA,BETA_STD,SE,P,BH_FDR,BONFERRONI_P,BONFERRONI_SIGNIFICANT,FDR_SIGNIFICANT
right_ALPS,GO_BP_2023,Positive Regulation Of Epithelial To Mesenchymal Transition (GO:0010718),GO_BP_2023::Positive_Regulation_Of_Epithelial_To_Mesenchymal_Transition_(GO:0010718),47,0.35588,0.018067,0.13702,0.004702,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Chromatin Organization (GO:0006325),GO_BP_2023::Chromatin_Organization_(GO:0006325),245,0.15099,0.017405,0.058141,0.0047063,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),GO_BP_2023::Negative_Regulation_Of_Nucleic_Acid-Templated_Transcription_(GO:1903507),431,0.11883,0.018073,0.04579,0.0047333,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Degradation Of GLI1 By Proteasome R-HSA-5610780,Reactome_2022::Degradation_Of_GLI1_By_Proteasome_R-HSA-5610780,58,0.34999,0.019731,0.13516,0.0048115,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Metabolism Of Porphyrins R-HSA-189445,Reactome_2022::Metabolism_Of_Porphyrins_R-HSA-189445,27,0.44549,0.017151,0.17268,0.0049463,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Defects In Cobalamin (B12) Metabolism R-HSA-3296469,Reactome_2022::Defects_In_Cobalamin_(B12)_Metabolism_R-HSA-3296469,13,0.71698,0.019161,0.27962,0.0051767,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Defects In Vitamin And Cofactor Metabolism R-HSA-3296482,Reactome_2022::Defects_In_Vitamin_And_Cofactor_Metabolism_R-HSA-3296482,21,0.55409,0.018816,0.2169,0.0053201,0.5916865306122449,1.0,False,False
right_ALPS,GO_BP_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),GO_BP_2023::Positive_Regulation_Of_Protein_Dephosphorylation_(GO:0035307),32,0.36798,0.01542,0.1441,0.0053358,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome_2022::Degradation_Of_GLI2_By_Proteasome_R-HSA-5610783,58,0.34085,0.019216,0.13365,0.0053865,0.5916865306122449,1.0,False,False
right_ALPS,Reactome_2022,Regulation Of RUNX2 Expression And Activity R-HSA-8939902,Reactome_2022::Regulation_Of_RUNX2_Expression_And_Activity_R-HSA-8939902,71,0.30071,0.018751,0.1182,0.0054814,0.5916865306122449,1.0,False,False
